"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","5510","0111","2014",NA,NA,NA
"426","5510","0111","2015",NA,NA,NA
"426","5510","0111","2016",NA,NA,NA
"426","5510","0111","2017",NA,NA,NA
"426","5510","0111","2018",NA,NA,NA
"426","5510","0111","2019",NA,NA,NA
"426","5510","0111","2020",NA,NA,NA
"426","5510","0111","2021",NA,NA,NA
"426","5510","0111","2022",NA,NA,NA
"426","5510","0111","2023",NA,NA,NA
"426","5610","0111","2014",NA,NA,NA
"426","5610","0111","2015",NA,NA,NA
"426","5610","0111","2016",NA,NA,NA
"426","5610","0111","2017",NA,NA,NA
"426","5610","0111","2018",NA,NA,NA
"426","5610","0111","2019",NA,NA,NA
"426","5610","0111","2020",NA,NA,NA
"426","5610","0111","2021",NA,NA,NA
"426","5610","0111","2022",NA,NA,NA
"426","5610","0111","2023",NA,NA,NA
"426","5071","0111","2014",NA,NA,NA
"426","5071","0111","2015",NA,NA,NA
"426","5071","0111","2016",NA,NA,NA
"426","5071","0111","2017",NA,NA,NA
"426","5071","0111","2018",NA,NA,NA
"426","5071","0111","2019",NA,NA,NA
"426","5071","0111","2020",NA,NA,NA
"426","5071","0111","2021",NA,NA,NA
"426","5071","0111","2022",NA,NA,NA
"426","5071","0111","2023",NA,NA,NA
"426","5910","0111","2014",NA,NA,NA
"426","5910","0111","2015",NA,NA,NA
"426","5910","0111","2016",NA,NA,NA
"426","5910","0111","2017",NA,NA,NA
"426","5910","0111","2018",NA,NA,NA
"426","5910","0111","2019",NA,NA,NA
"426","5910","0111","2020",NA,NA,NA
"426","5910","0111","2021",NA,NA,NA
"426","5910","0111","2022",NA,NA,NA
"426","5910","0111","2023",NA,NA,NA
"426","5520","0111","2014",NA,NA,NA
"426","5520","0111","2015",NA,NA,NA
"426","5520","0111","2016",NA,NA,NA
"426","5520","0111","2017",NA,NA,NA
"426","5520","0111","2018",NA,NA,NA
"426","5520","0111","2019",NA,NA,NA
"426","5520","0111","2020",NA,NA,NA
"426","5520","0111","2021",NA,NA,NA
"426","5520","0111","2022",NA,NA,NA
"426","5520","0111","2023",NA,NA,NA
"426","5525","0111","2014",NA,NA,NA
"426","5525","0111","2015",NA,NA,NA
"426","5525","0111","2016",NA,NA,NA
"426","5525","0111","2017",NA,NA,NA
"426","5525","0111","2018",NA,NA,NA
"426","5525","0111","2019",NA,NA,NA
"426","5525","0111","2020",NA,NA,NA
"426","5525","0111","2021",NA,NA,NA
"426","5525","0111","2022",NA,NA,NA
"426","5525","0111","2023",NA,NA,NA
"426","5016","0111","2014",NA,NA,NA
"426","5016","0111","2015",NA,NA,NA
"426","5016","0111","2016",NA,NA,NA
"426","5016","0111","2017",NA,NA,NA
"426","5016","0111","2018",NA,NA,NA
"426","5016","0111","2019",NA,NA,NA
"426","5016","0111","2020",NA,NA,NA
"426","5016","0111","2021",NA,NA,NA
"426","5016","0111","2022",NA,NA,NA
"426","5016","0111","2023",NA,NA,NA
"426","5141","0111","2014",NA,NA,NA
"426","5141","0111","2015",NA,NA,NA
"426","5141","0111","2016",NA,NA,NA
"426","5141","0111","2017",NA,NA,NA
"426","5141","0111","2018",NA,NA,NA
"426","5141","0111","2019",NA,NA,NA
"426","5141","0111","2020",NA,NA,NA
"426","5141","0111","2021",NA,NA,NA
"426","5141","0111","2022",NA,NA,NA
"426","5141","0111","2023",NA,NA,NA
"426","664","0111","2014",NA,NA,NA
"426","664","0111","2015",NA,NA,NA
"426","664","0111","2016",NA,NA,NA
"426","664","0111","2017",NA,NA,NA
"426","664","0111","2018",NA,NA,NA
"426","664","0111","2019",NA,NA,NA
"426","664","0111","2020",NA,NA,NA
"426","664","0111","2021",NA,NA,NA
"426","664","0111","2022",NA,NA,NA
"426","664","0111","2023",NA,NA,NA
"426","674","0111","2014",NA,NA,NA
"426","674","0111","2015",NA,NA,NA
"426","674","0111","2016",NA,NA,NA
"426","674","0111","2017",NA,NA,NA
"426","674","0111","2018",NA,NA,NA
"426","674","0111","2019",NA,NA,NA
"426","674","0111","2020",NA,NA,NA
"426","674","0111","2021",NA,NA,NA
"426","674","0111","2022",NA,NA,NA
"426","674","0111","2023",NA,NA,NA
"426","684","0111","2014",NA,NA,NA
"426","684","0111","2015",NA,NA,NA
"426","684","0111","2016",NA,NA,NA
"426","684","0111","2017",NA,NA,NA
"426","684","0111","2018",NA,NA,NA
"426","684","0111","2019",NA,NA,NA
"426","684","0111","2020",NA,NA,NA
"426","684","0111","2021",NA,NA,NA
"426","684","0111","2022",NA,NA,NA
"426","684","0111","2023",NA,NA,NA
"426","5166","0111","2014",NA,NA,NA
"426","5166","0111","2015",NA,NA,NA
"426","5166","0111","2016",NA,NA,NA
"426","5166","0111","2017",NA,NA,NA
"426","5166","0111","2018",NA,NA,NA
"426","5166","0111","2019",NA,NA,NA
"426","5166","0111","2020",NA,NA,NA
"426","5166","0111","2021",NA,NA,NA
"426","5166","0111","2022",NA,NA,NA
"426","5166","0111","2023",NA,NA,NA
"426","665","0111","2014",NA,NA,NA
"426","665","0111","2015",NA,NA,NA
"426","665","0111","2016",NA,NA,NA
"426","665","0111","2017",NA,NA,NA
"426","665","0111","2018",NA,NA,NA
"426","665","0111","2019",NA,NA,NA
"426","665","0111","2020",NA,NA,NA
"426","665","0111","2021",NA,NA,NA
"426","665","0111","2022",NA,NA,NA
"426","665","0111","2023",NA,NA,NA
"426","5610","23220.02","2014",NA,NA,NA
"426","5610","23220.02","2015",NA,NA,NA
"426","5610","23220.02","2016",NA,NA,NA
"426","5610","23220.02","2017",NA,NA,NA
"426","5610","23220.02","2018",NA,NA,NA
"426","5610","23220.02","2019",NA,NA,NA
"426","5610","23220.02","2020",NA,NA,NA
"426","5610","23220.02","2021",NA,NA,NA
"426","5610","23220.02","2022",NA,NA,NA
"426","5610","23220.02","2023",NA,NA,NA
"426","5910","23220.02","2019",NA,NA,NA
"426","5520","23220.02","2014",NA,NA,NA
"426","5520","23220.02","2015",NA,NA,NA
"426","5520","23220.02","2016",NA,NA,NA
"426","5520","23220.02","2017",NA,NA,NA
"426","5520","23220.02","2018",NA,NA,NA
"426","5520","23220.02","2019",NA,NA,NA
"426","5520","23220.02","2020",NA,NA,NA
"426","5520","23220.02","2021",NA,NA,NA
"426","5520","23220.02","2022",NA,NA,NA
"426","5520","23220.02","2023",NA,NA,NA
"426","5141","23220.02","2014",NA,NA,NA
"426","5141","23220.02","2015",NA,NA,NA
"426","5141","23220.02","2016",NA,NA,NA
"426","5141","23220.02","2017",NA,NA,NA
"426","5141","23220.02","2018",NA,NA,NA
"426","5141","23220.02","2019",NA,NA,NA
"426","5141","23220.02","2020",NA,NA,NA
"426","5141","23220.02","2021",NA,NA,NA
"426","5141","23220.02","2022",NA,NA,NA
"426","5141","23220.02","2023",NA,NA,NA
"426","664","23220.02","2014",NA,NA,NA
"426","664","23220.02","2015",NA,NA,NA
"426","664","23220.02","2016",NA,NA,NA
"426","664","23220.02","2017",NA,NA,NA
"426","664","23220.02","2018",NA,NA,NA
"426","664","23220.02","2019",NA,NA,NA
"426","664","23220.02","2020",NA,NA,NA
"426","664","23220.02","2021",NA,NA,NA
"426","664","23220.02","2022",NA,NA,NA
"426","664","23220.02","2023",NA,NA,NA
"426","674","23220.02","2014",NA,NA,NA
"426","674","23220.02","2015",NA,NA,NA
"426","674","23220.02","2016",NA,NA,NA
"426","674","23220.02","2017",NA,NA,NA
"426","674","23220.02","2018",NA,NA,NA
"426","674","23220.02","2019",NA,NA,NA
"426","674","23220.02","2020",NA,NA,NA
"426","674","23220.02","2021",NA,NA,NA
"426","674","23220.02","2022",NA,NA,NA
"426","674","23220.02","2023",NA,NA,NA
"426","684","23220.02","2014",NA,NA,NA
"426","684","23220.02","2015",NA,NA,NA
"426","684","23220.02","2016",NA,NA,NA
"426","684","23220.02","2017",NA,NA,NA
"426","684","23220.02","2018",NA,NA,NA
"426","684","23220.02","2019",NA,NA,NA
"426","684","23220.02","2020",NA,NA,NA
"426","684","23220.02","2021",NA,NA,NA
"426","684","23220.02","2022",NA,NA,NA
"426","684","23220.02","2023",NA,NA,NA
"426","5166","23220.02","2014",NA,NA,NA
"426","5166","23220.02","2015",NA,NA,NA
"426","5166","23220.02","2016",NA,NA,NA
"426","5166","23220.02","2017",NA,NA,NA
"426","5166","23220.02","2018",NA,NA,NA
"426","5166","23220.02","2019",NA,NA,NA
"426","5166","23220.02","2020",NA,NA,NA
"426","5166","23220.02","2021",NA,NA,NA
"426","5166","23220.02","2022",NA,NA,NA
"426","5166","23220.02","2023",NA,NA,NA
"426","665","23220.02","2014",NA,NA,NA
"426","665","23220.02","2015",NA,NA,NA
"426","665","23220.02","2016",NA,NA,NA
"426","665","23220.02","2017",NA,NA,NA
"426","665","23220.02","2018",NA,NA,NA
"426","665","23220.02","2019",NA,NA,NA
"426","665","23220.02","2020",NA,NA,NA
"426","665","23220.02","2021",NA,NA,NA
"426","665","23220.02","2022",NA,NA,NA
"426","665","23220.02","2023",NA,NA,NA
"426","5610","0113","2014",NA,NA,NA
"426","5610","0113","2015",NA,NA,NA
"426","5610","0113","2016",NA,NA,NA
"426","5610","0113","2017",NA,NA,NA
"426","5610","0113","2018",NA,NA,NA
"426","5610","0113","2019",NA,NA,NA
"426","5610","0113","2020",NA,NA,NA
"426","5610","0113","2021",NA,NA,NA
"426","5610","0113","2022",NA,NA,NA
"426","5610","0113","2023",NA,NA,NA
"426","5910","0113","2014",NA,NA,NA
"426","5910","0113","2015",NA,NA,NA
"426","5910","0113","2016",NA,NA,NA
"426","5910","0113","2017",NA,NA,NA
"426","5910","0113","2018",NA,NA,NA
"426","5910","0113","2020",NA,NA,NA
"426","5910","0113","2021",NA,NA,NA
"426","5910","0113","2022",NA,NA,NA
"426","5520","0113","2014",NA,NA,NA
"426","5520","0113","2015",NA,NA,NA
"426","5520","0113","2016",NA,NA,NA
"426","5520","0113","2017",NA,NA,NA
"426","5520","0113","2018",NA,NA,NA
"426","5520","0113","2019",NA,NA,NA
"426","5520","0113","2020",NA,NA,NA
"426","5520","0113","2021",NA,NA,NA
"426","5520","0113","2022",NA,NA,NA
"426","5520","0113","2023",NA,NA,NA
"426","5141","0113","2014",NA,NA,NA
"426","5141","0113","2015",NA,NA,NA
"426","5141","0113","2016",NA,NA,NA
"426","5141","0113","2017",NA,NA,NA
"426","5141","0113","2018",NA,NA,NA
"426","5141","0113","2019",NA,NA,NA
"426","5141","0113","2020",NA,NA,NA
"426","5141","0113","2021",NA,NA,NA
"426","5141","0113","2022",NA,NA,NA
"426","5141","0113","2023",NA,NA,NA
"426","664","0113","2014",NA,NA,NA
"426","664","0113","2015",NA,NA,NA
"426","664","0113","2016",NA,NA,NA
"426","664","0113","2017",NA,NA,NA
"426","664","0113","2018",NA,NA,NA
"426","664","0113","2019",NA,NA,NA
"426","664","0113","2020",NA,NA,NA
"426","664","0113","2021",NA,NA,NA
"426","664","0113","2022",NA,NA,NA
"426","664","0113","2023",NA,NA,NA
"426","674","0113","2014",NA,NA,NA
"426","674","0113","2015",NA,NA,NA
"426","674","0113","2016",NA,NA,NA
"426","674","0113","2017",NA,NA,NA
"426","674","0113","2018",NA,NA,NA
"426","674","0113","2019",NA,NA,NA
"426","674","0113","2020",NA,NA,NA
"426","674","0113","2021",NA,NA,NA
"426","674","0113","2022",NA,NA,NA
"426","674","0113","2023",NA,NA,NA
"426","684","0113","2014",NA,NA,NA
"426","684","0113","2015",NA,NA,NA
"426","684","0113","2016",NA,NA,NA
"426","684","0113","2017",NA,NA,NA
"426","684","0113","2018",NA,NA,NA
"426","684","0113","2019",NA,NA,NA
"426","684","0113","2020",NA,NA,NA
"426","684","0113","2021",NA,NA,NA
"426","684","0113","2022",NA,NA,NA
"426","684","0113","2023",NA,NA,NA
"426","5166","0113","2014",NA,NA,NA
"426","5166","0113","2015",NA,NA,NA
"426","5166","0113","2016",NA,NA,NA
"426","5166","0113","2017",NA,NA,NA
"426","5166","0113","2018",NA,NA,NA
"426","5166","0113","2019",NA,NA,NA
"426","5166","0113","2020",NA,NA,NA
"426","5166","0113","2021",NA,NA,NA
"426","5166","0113","2022",NA,NA,NA
"426","5166","0113","2023",NA,NA,NA
"426","665","0113","2014",NA,NA,NA
"426","665","0113","2015",NA,NA,NA
"426","665","0113","2016",NA,NA,NA
"426","665","0113","2017",NA,NA,NA
"426","665","0113","2018",NA,NA,NA
"426","665","0113","2019",NA,NA,NA
"426","665","0113","2020",NA,NA,NA
"426","665","0113","2021",NA,NA,NA
"426","665","0113","2022",NA,NA,NA
"426","665","0113","2023",NA,NA,NA
"426","5610","23162","2014",NA,NA,NA
"426","5610","23162","2015",NA,NA,NA
"426","5610","23162","2016",NA,NA,NA
"426","5610","23162","2017",NA,NA,NA
"426","5610","23162","2018",NA,NA,NA
"426","5610","23162","2019",NA,NA,NA
"426","5610","23162","2020",NA,NA,NA
"426","5610","23162","2021",NA,NA,NA
"426","5610","23162","2022",NA,NA,NA
"426","5610","23162","2023",NA,NA,NA
"426","5910","23162","2016",NA,NA,NA
"426","5910","23162","2021",NA,NA,NA
"426","5910","23162","2022",NA,NA,NA
"426","5141","23162","2014",NA,NA,NA
"426","5141","23162","2015",NA,NA,NA
"426","5141","23162","2016",NA,NA,NA
"426","5141","23162","2017",NA,NA,NA
"426","5141","23162","2018",NA,NA,NA
"426","5141","23162","2019",NA,NA,NA
"426","5141","23162","2020",NA,NA,NA
"426","5141","23162","2021",NA,NA,NA
"426","5141","23162","2022",NA,NA,NA
"426","5141","23162","2023",NA,NA,NA
"426","664","23162","2014",NA,NA,NA
"426","664","23162","2015",NA,NA,NA
"426","664","23162","2016",NA,NA,NA
"426","664","23162","2017",NA,NA,NA
"426","664","23162","2018",NA,NA,NA
"426","664","23162","2019",NA,NA,NA
"426","664","23162","2020",NA,NA,NA
"426","664","23162","2021",NA,NA,NA
"426","664","23162","2022",NA,NA,NA
"426","664","23162","2023",NA,NA,NA
"426","674","23162","2014",NA,NA,NA
"426","674","23162","2015",NA,NA,NA
"426","674","23162","2016",NA,NA,NA
"426","674","23162","2017",NA,NA,NA
"426","674","23162","2018",NA,NA,NA
"426","674","23162","2019",NA,NA,NA
"426","674","23162","2020",NA,NA,NA
"426","674","23162","2021",NA,NA,NA
"426","674","23162","2022",NA,NA,NA
"426","674","23162","2023",NA,NA,NA
"426","684","23162","2014",NA,NA,NA
"426","684","23162","2015",NA,NA,NA
"426","684","23162","2016",NA,NA,NA
"426","684","23162","2017",NA,NA,NA
"426","684","23162","2018",NA,NA,NA
"426","684","23162","2019",NA,NA,NA
"426","684","23162","2020",NA,NA,NA
"426","684","23162","2021",NA,NA,NA
"426","684","23162","2022",NA,NA,NA
"426","684","23162","2023",NA,NA,NA
"426","5166","23162","2014",NA,NA,NA
"426","5166","23162","2015",NA,NA,NA
"426","5166","23162","2016",NA,NA,NA
"426","5166","23162","2017",NA,NA,NA
"426","5166","23162","2018",NA,NA,NA
"426","5166","23162","2019",NA,NA,NA
"426","5166","23162","2020",NA,NA,NA
"426","5166","23162","2021",NA,NA,NA
"426","5166","23162","2022",NA,NA,NA
"426","5166","23162","2023",NA,NA,NA
"426","665","23162","2014",NA,NA,NA
"426","665","23162","2015",NA,NA,NA
"426","665","23162","2016",NA,NA,NA
"426","665","23162","2017",NA,NA,NA
"426","665","23162","2018",NA,NA,NA
"426","665","23162","2019",NA,NA,NA
"426","665","23162","2020",NA,NA,NA
"426","665","23162","2021",NA,NA,NA
"426","665","23162","2022",NA,NA,NA
"426","665","23162","2023",NA,NA,NA
"426","5610","23161.02","2014",NA,NA,NA
"426","5610","23161.02","2015",NA,NA,NA
"426","5610","23161.02","2016",NA,NA,NA
"426","5610","23161.02","2017",NA,NA,NA
"426","5610","23161.02","2018",NA,NA,NA
"426","5610","23161.02","2019",NA,NA,NA
"426","5610","23161.02","2020",NA,NA,NA
"426","5610","23161.02","2021",NA,NA,NA
"426","5610","23161.02","2022",NA,NA,NA
"426","5610","23161.02","2023",NA,NA,NA
"426","5071","23161.02","2014",NA,NA,NA
"426","5071","23161.02","2015",NA,NA,NA
"426","5071","23161.02","2016",NA,NA,NA
"426","5071","23161.02","2017",NA,NA,NA
"426","5071","23161.02","2018",NA,NA,NA
"426","5071","23161.02","2019",NA,NA,NA
"426","5071","23161.02","2020",NA,NA,NA
"426","5071","23161.02","2021",NA,NA,NA
"426","5071","23161.02","2022",NA,NA,NA
"426","5071","23161.02","2023",NA,NA,NA
"426","5910","23161.02","2014",NA,NA,NA
"426","5910","23161.02","2015",NA,NA,NA
"426","5910","23161.02","2016",NA,NA,NA
"426","5910","23161.02","2017",NA,NA,NA
"426","5910","23161.02","2019",NA,NA,NA
"426","5910","23161.02","2020",NA,NA,NA
"426","5910","23161.02","2021",NA,NA,NA
"426","5910","23161.02","2022",NA,NA,NA
"426","5141","23161.02","2014",NA,NA,NA
"426","5141","23161.02","2015",NA,NA,NA
"426","5141","23161.02","2016",NA,NA,NA
"426","5141","23161.02","2017",NA,NA,NA
"426","5141","23161.02","2018",NA,NA,NA
"426","5141","23161.02","2019",NA,NA,NA
"426","5141","23161.02","2020",NA,NA,NA
"426","5141","23161.02","2021",NA,NA,NA
"426","5141","23161.02","2022",NA,NA,NA
"426","5141","23161.02","2023",NA,NA,NA
"426","664","23161.02","2014",NA,NA,NA
"426","664","23161.02","2015",NA,NA,NA
"426","664","23161.02","2016",NA,NA,NA
"426","664","23161.02","2017",NA,NA,NA
"426","664","23161.02","2018",NA,NA,NA
"426","664","23161.02","2019",NA,NA,NA
"426","664","23161.02","2020",NA,NA,NA
"426","664","23161.02","2021",NA,NA,NA
"426","664","23161.02","2022",NA,NA,NA
"426","664","23161.02","2023",NA,NA,NA
"426","674","23161.02","2014",NA,NA,NA
"426","674","23161.02","2015",NA,NA,NA
"426","674","23161.02","2016",NA,NA,NA
"426","674","23161.02","2017",NA,NA,NA
"426","674","23161.02","2018",NA,NA,NA
"426","674","23161.02","2019",NA,NA,NA
"426","674","23161.02","2020",NA,NA,NA
"426","674","23161.02","2021",NA,NA,NA
"426","674","23161.02","2022",NA,NA,NA
"426","674","23161.02","2023",NA,NA,NA
"426","684","23161.02","2014",NA,NA,NA
"426","684","23161.02","2015",NA,NA,NA
"426","684","23161.02","2016",NA,NA,NA
"426","684","23161.02","2017",NA,NA,NA
"426","684","23161.02","2018",NA,NA,NA
"426","684","23161.02","2019",NA,NA,NA
"426","684","23161.02","2020",NA,NA,NA
"426","684","23161.02","2021",NA,NA,NA
"426","684","23161.02","2022",NA,NA,NA
"426","684","23161.02","2023",NA,NA,NA
"426","5166","23161.02","2014",NA,NA,NA
"426","5166","23161.02","2015",NA,NA,NA
"426","5166","23161.02","2016",NA,NA,NA
"426","5166","23161.02","2017",NA,NA,NA
"426","5166","23161.02","2018",NA,NA,NA
"426","5166","23161.02","2019",NA,NA,NA
"426","5166","23161.02","2020",NA,NA,NA
"426","5166","23161.02","2021",NA,NA,NA
"426","5166","23161.02","2022",NA,NA,NA
"426","5166","23161.02","2023",NA,NA,NA
"426","665","23161.02","2014",NA,NA,NA
"426","665","23161.02","2015",NA,NA,NA
"426","665","23161.02","2016",NA,NA,NA
"426","665","23161.02","2017",NA,NA,NA
"426","665","23161.02","2018",NA,NA,NA
"426","665","23161.02","2019",NA,NA,NA
"426","665","23161.02","2020",NA,NA,NA
"426","665","23161.02","2021",NA,NA,NA
"426","665","23161.02","2022",NA,NA,NA
"426","665","23161.02","2023",NA,NA,NA
"426","5610","23220.03","2014",NA,NA,NA
"426","5610","23220.03","2015",NA,NA,NA
"426","5610","23220.03","2016",NA,NA,NA
"426","5610","23220.03","2017",NA,NA,NA
"426","5610","23220.03","2018",NA,NA,NA
"426","5610","23220.03","2019",NA,NA,NA
"426","5610","23220.03","2020",NA,NA,NA
"426","5610","23220.03","2021",NA,NA,NA
"426","5610","23220.03","2022",NA,NA,NA
"426","5610","23220.03","2023",NA,NA,NA
"426","5910","23220.03","2014",NA,NA,NA
"426","5910","23220.03","2015",NA,NA,NA
"426","5910","23220.03","2016",NA,NA,NA
"426","5910","23220.03","2019",NA,NA,NA
"426","5910","23220.03","2020",NA,NA,NA
"426","5910","23220.03","2021",NA,NA,NA
"426","5910","23220.03","2022",NA,NA,NA
"426","5520","23220.03","2021",NA,NA,NA
"426","5520","23220.03","2022",NA,NA,NA
"426","5520","23220.03","2023",NA,NA,NA
"426","5166","23220.03","2014",NA,NA,NA
"426","5166","23220.03","2015",NA,NA,NA
"426","5166","23220.03","2016",NA,NA,NA
"426","5166","23220.03","2017",NA,NA,NA
"426","5166","23220.03","2018",NA,NA,NA
"426","5166","23220.03","2019",NA,NA,NA
"426","5166","23220.03","2020",NA,NA,NA
"426","5166","23220.03","2021",NA,NA,NA
"426","5166","23220.03","2022",NA,NA,NA
"426","5166","23220.03","2023",NA,NA,NA
"426","5510","0115","2014",NA,NA,NA
"426","5510","0115","2015",NA,NA,NA
"426","5510","0115","2016",NA,NA,NA
"426","5510","0115","2017",NA,NA,NA
"426","5510","0115","2018",NA,NA,NA
"426","5510","0115","2019",NA,NA,NA
"426","5510","0115","2020",NA,NA,NA
"426","5510","0115","2021",NA,NA,NA
"426","5510","0115","2022",NA,NA,NA
"426","5510","0115","2023",NA,NA,NA
"426","5610","0115","2014",NA,NA,NA
"426","5610","0115","2015",NA,NA,NA
"426","5610","0115","2016",NA,NA,NA
"426","5610","0115","2017",NA,NA,NA
"426","5610","0115","2018",NA,NA,NA
"426","5610","0115","2019",NA,NA,NA
"426","5610","0115","2020",NA,NA,NA
"426","5610","0115","2021",NA,NA,NA
"426","5610","0115","2022",NA,NA,NA
"426","5610","0115","2023",NA,NA,NA
"426","5071","0115","2014",NA,NA,NA
"426","5071","0115","2015",NA,NA,NA
"426","5071","0115","2016",NA,NA,NA
"426","5071","0115","2017",NA,NA,NA
"426","5071","0115","2018",NA,NA,NA
"426","5071","0115","2019",NA,NA,NA
"426","5071","0115","2020",NA,NA,NA
"426","5071","0115","2021",NA,NA,NA
"426","5071","0115","2022",NA,NA,NA
"426","5071","0115","2023",NA,NA,NA
"426","5910","0115","2014",NA,NA,NA
"426","5910","0115","2015",NA,NA,NA
"426","5910","0115","2016",NA,NA,NA
"426","5910","0115","2017",NA,NA,NA
"426","5910","0115","2019",NA,NA,NA
"426","5910","0115","2020",NA,NA,NA
"426","5910","0115","2021",NA,NA,NA
"426","5910","0115","2022",NA,NA,NA
"426","5520","0115","2014",NA,NA,NA
"426","5520","0115","2015",NA,NA,NA
"426","5520","0115","2016",NA,NA,NA
"426","5520","0115","2017",NA,NA,NA
"426","5520","0115","2018",NA,NA,NA
"426","5520","0115","2019",NA,NA,NA
"426","5520","0115","2020",NA,NA,NA
"426","5520","0115","2021",NA,NA,NA
"426","5520","0115","2022",NA,NA,NA
"426","5520","0115","2023",NA,NA,NA
"426","5525","0115","2014",NA,NA,NA
"426","5525","0115","2015",NA,NA,NA
"426","5525","0115","2016",NA,NA,NA
"426","5525","0115","2017",NA,NA,NA
"426","5525","0115","2018",NA,NA,NA
"426","5525","0115","2019",NA,NA,NA
"426","5525","0115","2020",NA,NA,NA
"426","5525","0115","2021",NA,NA,NA
"426","5525","0115","2022",NA,NA,NA
"426","5525","0115","2023",NA,NA,NA
"426","5016","0115","2014",NA,NA,NA
"426","5016","0115","2015",NA,NA,NA
"426","5016","0115","2016",NA,NA,NA
"426","5016","0115","2017",NA,NA,NA
"426","5016","0115","2018",NA,NA,NA
"426","5016","0115","2019",NA,NA,NA
"426","5016","0115","2020",NA,NA,NA
"426","5016","0115","2021",NA,NA,NA
"426","5016","0115","2022",NA,NA,NA
"426","5016","0115","2023",NA,NA,NA
"426","5141","0115","2014",NA,NA,NA
"426","5141","0115","2015",NA,NA,NA
"426","5141","0115","2016",NA,NA,NA
"426","5141","0115","2017",NA,NA,NA
"426","5141","0115","2018",NA,NA,NA
"426","5141","0115","2019",NA,NA,NA
"426","5141","0115","2020",NA,NA,NA
"426","5141","0115","2021",NA,NA,NA
"426","5141","0115","2022",NA,NA,NA
"426","5141","0115","2023",NA,NA,NA
"426","664","0115","2014",NA,NA,NA
"426","664","0115","2015",NA,NA,NA
"426","664","0115","2016",NA,NA,NA
"426","664","0115","2017",NA,NA,NA
"426","664","0115","2018",NA,NA,NA
"426","664","0115","2019",NA,NA,NA
"426","664","0115","2020",NA,NA,NA
"426","664","0115","2021",NA,NA,NA
"426","664","0115","2022",NA,NA,NA
"426","664","0115","2023",NA,NA,NA
"426","674","0115","2014",NA,NA,NA
"426","674","0115","2015",NA,NA,NA
"426","674","0115","2016",NA,NA,NA
"426","674","0115","2017",NA,NA,NA
"426","674","0115","2018",NA,NA,NA
"426","674","0115","2019",NA,NA,NA
"426","674","0115","2020",NA,NA,NA
"426","674","0115","2021",NA,NA,NA
"426","674","0115","2022",NA,NA,NA
"426","674","0115","2023",NA,NA,NA
"426","684","0115","2014",NA,NA,NA
"426","684","0115","2015",NA,NA,NA
"426","684","0115","2016",NA,NA,NA
"426","684","0115","2017",NA,NA,NA
"426","684","0115","2018",NA,NA,NA
"426","684","0115","2019",NA,NA,NA
"426","684","0115","2020",NA,NA,NA
"426","684","0115","2021",NA,NA,NA
"426","684","0115","2022",NA,NA,NA
"426","684","0115","2023",NA,NA,NA
"426","5166","0115","2014",NA,NA,NA
"426","5166","0115","2015",NA,NA,NA
"426","5166","0115","2016",NA,NA,NA
"426","5166","0115","2017",NA,NA,NA
"426","5166","0115","2018",NA,NA,NA
"426","5166","0115","2019",NA,NA,NA
"426","5166","0115","2020",NA,NA,NA
"426","5166","0115","2021",NA,NA,NA
"426","5166","0115","2022",NA,NA,NA
"426","5166","0115","2023",NA,NA,NA
"426","665","0115","2014",NA,NA,NA
"426","665","0115","2015",NA,NA,NA
"426","665","0115","2016",NA,NA,NA
"426","665","0115","2017",NA,NA,NA
"426","665","0115","2018",NA,NA,NA
"426","665","0115","2019",NA,NA,NA
"426","665","0115","2020",NA,NA,NA
"426","665","0115","2021",NA,NA,NA
"426","665","0115","2022",NA,NA,NA
"426","665","0115","2023",NA,NA,NA
"426","5610","24320","2014",NA,NA,NA
"426","5610","24320","2015",NA,NA,NA
"426","5610","24320","2016",NA,NA,NA
"426","5610","24320","2017",NA,NA,NA
"426","5610","24320","2018",NA,NA,NA
"426","5610","24320","2019",NA,NA,NA
"426","5610","24320","2020",NA,NA,NA
"426","5610","24320","2021",NA,NA,NA
"426","5610","24320","2022",NA,NA,NA
"426","5610","24320","2023",NA,NA,NA
"426","5071","24320","2014",NA,NA,NA
"426","5071","24320","2015",NA,NA,NA
"426","5071","24320","2016",NA,NA,NA
"426","5071","24320","2017",NA,NA,NA
"426","5071","24320","2018",NA,NA,NA
"426","5071","24320","2019",NA,NA,NA
"426","5071","24320","2020",NA,NA,NA
"426","5071","24320","2021",NA,NA,NA
"426","5071","24320","2022",NA,NA,NA
"426","5071","24320","2023",NA,NA,NA
"426","5910","24320","2014",NA,NA,NA
"426","5910","24320","2015",NA,NA,NA
"426","5910","24320","2016",NA,NA,NA
"426","5910","24320","2017",NA,NA,NA
"426","5910","24320","2018",NA,NA,NA
"426","5910","24320","2019",NA,NA,NA
"426","5910","24320","2021",NA,NA,NA
"426","5910","24320","2022",NA,NA,NA
"426","5023","24320","2014",NA,NA,NA
"426","5023","24320","2015",NA,NA,NA
"426","5023","24320","2016",NA,NA,NA
"426","5023","24320","2017",NA,NA,NA
"426","5023","24320","2018",NA,NA,NA
"426","5023","24320","2019",NA,NA,NA
"426","5023","24320","2020",NA,NA,NA
"426","5023","24320","2021",NA,NA,NA
"426","5023","24320","2022",NA,NA,NA
"426","5023","24320","2023",NA,NA,NA
